activity_frequency,category_count,event_type_count,unique_products,unique_brands,average_spend
1,1,1,1,1,150.17
1,1,1,1,1,746.22
1,1,1,1,1,66.93
1,1,1,1,1,450.02
1,1,1,1,1,542.07
1,1,1,1,1,162.95
1,1,1,1,1,704.78
1,1,1,1,1,71.82
1,1,1,1,1,105.28
1,1,1,1,1,867.17
1,1,1,1,1,179.63
1,1,1,1,1,645.83
1,1,1,1,1,26.69
1,1,1,1,1,173.27
1,1,1,1,1,696.29
1,1,1,1,1,262.74
1,1,1,1,1,225.19
1,1,1,1,1,131.76
1,1,1,1,1,447.86
1,1,1,1,1,386.08
1,1,1,1,1,82.63
1,1,1,1,1,102.94
1,1,1,1,1,741.06
1,1,1,1,1,952.15
1,1,1,1,1,161.84
1,1,1,1,1,676.72
1,1,1,1,1,102.71
1,1,1,1,1,88.53
1,1,1,1,1,22.92
1,1,1,1,1,128.68
1,1,1,1,1,122.64
1,1,1,1,1,463.07
1,1,1,1,1,103.0
1,1,1,1,1,22.91
1,1,1,1,1,308.63
1,1,1,1,1,61.75
1,1,1,1,1,725.12
1,1,1,1,1,952.15
1,1,1,1,1,370.64
1,1,1,1,1,460.54
1,1,1,1,1,197.52
1,1,1,1,1,514.79
1,1,1,1,1,720.71
1,1,1,1,1,625.47
1,1,1,1,1,25.69
1,1,1,1,1,175.83
1,1,1,1,1,797.13
1,1,1,1,1,360.09
1,1,1,1,1,172.44
1,1,1,1,1,302.71
2,2,1,2,2,388.685
1,1,1,1,1,257.67
1,1,1,1,1,105.06
1,1,1,1,1,295.17
1,1,1,1,1,463.33
1,1,1,1,1,77.19
1,1,1,1,1,151.73
1,1,1,1,1,733.41
1,1,1,1,1,480.06
1,1,1,1,1,25.1
1,1,1,1,1,73.18
1,1,1,1,1,86.21
1,1,1,1,1,90.07
1,1,1,1,1,231.41
1,1,1,1,1,98.07
1,1,1,1,1,329.46
1,1,1,1,1,393.81
1,1,1,1,1,8.34
2,1,1,2,2,843.12
1,1,1,1,1,101.13
1,1,1,1,1,293.18
1,1,1,1,1,329.46
1,1,1,1,1,54.06
1,1,1,1,1,51.29
2,1,2,2,2,23.509999999999998
1,1,1,1,1,35.78
1,1,1,1,1,76.96
1,1,1,1,1,297.56
1,1,1,1,1,433.39
1,1,1,1,1,643.23
1,1,1,1,1,54.03
1,1,1,1,1,125.08
1,1,1,1,1,169.86
1,1,1,1,1,684.44
1,1,1,1,1,325.1
1,1,1,1,1,9.76
1,1,1,1,1,216.38
1,1,1,1,1,189.71
1,1,1,1,1,35.78
1,1,1,1,1,163.79
1,1,1,1,1,746.22
1,1,1,1,1,107.49
1,1,1,1,1,20.91
1,1,1,1,1,720.71
1,1,1,1,1,975.57
1,1,1,1,1,360.34
1,1,1,1,1,80.83
1,1,1,1,1,270.28
1,1,1,1,1,370.64
1,1,1,1,1,25.62
1,1,1,1,1,270.02
1,1,1,1,1,120.72
1,1,1,1,1,373.21
1,1,1,1,1,599.98
1,1,1,1,1,111.7
1,1,1,1,1,136.17
1,1,1,1,1,132.09
1,1,1,1,1,89.84
1,1,1,1,1,731.47
1,1,1,1,1,51.46
1,1,1,1,1,193.49
1,1,1,1,1,7.72
1,1,1,1,1,975.56
1,1,1,1,1,94.21
1,1,1,1,1,231.64
1,1,1,1,1,358.57
1,1,1,1,1,163.58
1,1,1,1,1,20.4
1,1,1,1,1,76.94
1,1,1,1,1,358.57
1,1,1,1,1,94.98
1,1,1,1,1,211.73
1,1,1,1,1,88.79
1,1,1,1,1,152.56
1,1,1,1,1,272.21
1,1,1,1,1,118.15
1,1,1,1,1,267.45
1,1,1,1,1,110.66
1,1,1,1,1,99.74
1,1,1,1,1,180.96
1,1,1,1,1,141.55
1,1,1,1,1,92.1
1,1,1,1,1,130.71
1,1,1,1,1,369.87
1,1,1,1,1,87.26
1,1,1,1,1,308.61
1,1,1,1,1,298.32
1,1,1,1,1,138.97
1,1,1,1,1,23.14
1,1,1,1,1,100.13
1,1,1,1,1,772.19
1,1,1,1,1,7.06
1,1,1,1,1,99.95
1,1,1,1,1,161.88
1,1,1,1,1,30.89
1,1,1,1,1,86.23
1,1,1,1,1,66.93
1,1,1,1,1,321.73
1,1,1,1,1,154.16
1,1,1,1,1,587.67
1,1,1,1,1,73.36
1,1,1,1,1,52.86
1,1,1,1,1,55.86
1,1,1,1,1,370.24
1,1,1,1,1,444.8
1,1,1,1,1,37.07
1,1,1,1,1,51.22
1,1,1,1,1,419.57
1,1,1,1,1,77.2
1,1,1,1,1,167.29
1,1,1,1,1,106.31
1,1,1,1,1,191.77
1,1,1,1,1,102.94
1,1,1,1,1,49.04
1,1,1,1,1,26.51
1,1,1,1,1,53.98
1,1,1,1,1,71.82
1,1,1,1,1,239.36
1,1,1,1,1,112.78
1,1,1,1,1,579.14
1,1,1,1,1,485.54
1,1,1,1,1,19.72
1,1,1,1,1,226.26
1,1,1,1,1,153.41
1,1,1,1,1,69.47
1,1,1,1,1,128.68
1,1,1,1,1,88.8
1,1,1,1,1,59.13
1,1,1,1,1,272.59
1,1,1,1,1,488.82
1,1,1,1,1,66.16
1,1,1,1,1,38.35
1,1,1,1,1,130.99
1,1,1,1,1,462.35
1,1,1,1,1,931.3
1,1,1,1,1,48.91
2,1,1,2,2,297.56
1,1,1,1,1,592.01
1,1,1,1,1,513.81
1,1,1,1,1,296.02
1,1,1,1,1,159.9
2,2,1,2,2,325.88
1,1,1,1,1,131.64
1,1,1,1,1,64.07
1,1,1,1,1,514.63
1,1,1,1,1,330.74
1,1,1,1,1,560.27
1,1,1,1,1,460.51
1,1,1,1,1,58.09
1,1,1,1,1,102.94
1,1,1,1,1,553.41
1,1,1,1,1,93.7
4,1,1,4,3,183.72
1,1,1,1,1,128.68
1,1,1,1,1,167.65
1,1,1,1,1,713.74
1,1,1,1,1,385.84
1,1,1,1,1,100.13
1,1,1,1,1,360.34
1,1,1,1,1,378.77
1,1,1,1,1,257.4
1,1,1,1,1,92.67
1,1,1,1,1,321.73
1,1,1,1,1,170.89
2,1,1,2,1,848.925
1,1,1,1,1,534.04
1,1,1,1,1,975.56
1,1,1,1,1,250.1
1,1,1,1,1,218.49
1,1,1,1,1,250.91
1,1,1,1,1,283.36
1,1,1,1,1,592.01
2,1,1,2,2,553.8100000000001
1,1,1,1,1,347.47
1,1,1,1,1,166.07
1,1,1,1,1,370.24
1,1,1,1,1,123.3
1,1,1,1,1,68.99
1,1,1,1,1,514.56
1,1,1,1,1,213.31
1,1,1,1,1,814.64
1,1,1,1,1,200.52
1,1,1,1,1,141.29
1,1,1,1,1,12.84
1,1,1,1,1,115.76
1,1,1,1,1,99.83
1,1,1,1,1,664.11
1,1,1,1,1,62.81
1,1,1,1,1,43.01
1,1,1,1,1,257.38
1,1,1,1,1,265.97
2,1,1,2,2,100.36
1,1,1,1,1,967.77
1,1,1,1,1,74.62
2,2,1,2,2,26.93
1,1,1,1,1,128.7
1,1,1,1,1,360.34
1,1,1,1,1,15.42
1,1,1,1,1,188.83
1,1,1,1,1,286.84
1,1,1,1,1,33.44
1,1,1,1,1,48.88
1,1,1,1,1,6.67
1,1,1,1,1,98.2
1,1,1,1,1,926.41
1,1,1,1,1,230.59
1,1,1,1,1,254.26
4,1,1,3,1,220.3025
1,1,1,1,1,203.35
1,1,1,1,1,455.61
1,1,1,1,1,174.75
1,1,1,1,1,121.24
1,1,1,1,1,196.92
1,1,1,1,1,730.26
1,1,1,1,1,550.54
1,1,1,1,1,674.69
1,1,1,1,1,213.33
1,1,1,1,1,128.68
1,1,1,1,1,72.06
1,1,1,1,1,16.19
1,1,1,1,1,512.19
1,1,1,1,1,230.26
1,1,1,1,1,458.29
1,1,1,1,1,344.9
1,1,1,1,1,141.55
1,1,1,1,1,153.82
1,1,1,1,1,385.6
1,1,1,1,1,810.81
1,1,1,1,1,334.37
1,1,1,1,1,91.64
1,1,1,1,1,372.95
1,1,1,1,1,79.8
1,1,1,1,1,544.34
1,1,1,1,1,656.13
1,1,1,1,1,115.32
1,1,1,1,1,121.24
1,1,1,1,1,321.73
1,1,1,1,1,358.23
1,1,1,1,1,141.29
1,1,1,1,1,179.9
1,1,1,1,1,73.52
1,1,1,1,1,308.63
1,1,1,1,1,51.46
1,1,1,1,1,617.52
1,1,1,1,1,360.34
1,1,1,1,1,196.32
1,1,1,1,1,460.5
1,1,1,1,1,725.63
1,1,1,1,1,120.98
1,1,1,1,1,95.72
1,1,1,1,1,22.95
1,1,1,1,1,229.99
1,1,1,1,1,254.54
2,1,1,2,2,617.75
1,1,1,1,1,170.65
1,1,1,1,1,468.48
1,1,1,1,1,311.46
1,1,1,1,1,511.98
1,1,1,1,1,111.2
1,1,1,1,1,424.7
1,1,1,1,1,22.1
1,1,1,1,1,23.06
1,1,1,1,1,297.56
1,1,1,1,1,257.38
1,1,1,1,1,225.95
1,1,1,1,1,76.96
1,1,1,1,1,66.9
1,1,1,1,1,20.31
1,1,1,1,1,141.57
1,1,1,1,1,160.88
1,1,1,1,1,100.8
1,1,1,1,1,111.71
1,1,1,1,1,129.99
1,1,1,1,1,527.65
1,1,1,1,1,621.42
1,1,1,1,1,107.85
1,1,1,1,1,437.33
1,1,1,1,1,200.75
1,1,1,1,1,129.94
1,1,1,1,1,118.15
1,1,1,1,1,834.0
1,1,1,1,1,142.27
1,1,1,1,1,105.54
1,1,1,1,1,29.6
1,1,1,1,1,84.43
1,1,1,1,1,115.81
2,2,1,2,2,208.615
1,1,1,1,1,506.28
2,1,2,2,2,118.245
1,1,1,1,1,449.92
1,1,1,1,1,38.35
1,1,1,1,1,437.31
1,1,1,1,1,215.44
1,1,1,1,1,245.39
1,1,1,1,1,353.1
1,1,1,1,1,486.5
1,1,1,1,1,76.96
1,1,1,1,1,41.19
1,1,1,1,1,437.33
1,1,1,1,1,249.43
1,1,1,1,1,110.66
1,1,1,1,1,257.15
1,1,1,1,1,519.94
1,1,1,1,1,129.99
1,1,1,1,1,150.22
1,1,1,1,1,180.16
1,1,1,1,1,10.76
1,1,1,1,1,421.89
1,1,1,1,1,716.47
1,1,1,1,1,119.69
1,1,1,1,1,25.71
1,1,1,1,1,63.32
1,1,1,1,1,246.78
1,1,1,1,1,83.91
1,1,1,1,1,460.48
1,1,1,1,1,823.68
1,1,1,1,1,369.37
1,1,1,1,1,195.35
1,1,1,1,1,131.64
1,1,1,1,1,85.54
1,1,1,1,1,108.03
1,1,1,1,1,53.8
1,1,1,1,1,54.98
1,1,1,1,1,952.05
1,1,1,1,1,257.15
1,1,1,1,1,586.86
1,1,1,1,1,928.47
1,1,1,1,1,167.29
1,1,1,1,1,177.12
1,1,1,1,1,296.02
1,1,1,1,1,792.79
1,1,1,1,1,300.83
1,1,1,1,1,48.65
1,1,1,1,1,46.33
1,1,1,1,1,167.01
1,1,1,1,1,170.48
1,1,1,1,1,191.59
1,1,1,1,1,378.49
1,1,1,1,1,44.79
1,1,1,1,1,315.58
1,1,1,1,1,72.28
1,1,1,1,1,135.01
1,1,1,1,1,189.97
1,1,1,1,1,31.76
1,1,1,1,1,88.8
1,1,1,1,1,48.88
1,1,1,1,1,460.05
1,1,1,1,1,242.92
1,1,1,1,1,316.87
1,1,1,1,1,238.1
1,1,1,1,1,17.99
1,1,1,1,1,130.48
1,1,1,1,1,215.39
1,1,1,1,1,146.04
1,1,1,1,1,111.03
1,1,1,1,1,170.84
1,1,1,1,1,437.33
1,1,1,1,1,79.82
1,1,1,1,1,666.66
1,1,1,1,1,635.48
1,1,1,1,1,254.55
1,1,1,1,1,159.33
1,1,1,1,1,587.53
1,1,1,1,1,3.14
1,1,1,1,1,975.56
1,1,1,1,1,137.45
2,1,1,1,1,223.94
1,1,1,1,1,94.21
1,1,1,1,1,334.37
1,1,1,1,1,130.25
1,1,1,1,1,318.41
1,1,1,1,1,270.95
1,1,1,1,1,319.18
1,1,1,1,1,411.83
1,1,1,1,1,155.55
1,1,1,1,1,245.09
1,1,1,1,1,864.63
1,1,1,1,1,643.23
1,1,1,1,1,758.95
1,1,1,1,1,107.85
1,1,1,1,1,48.88
1,1,1,1,1,424.7
1,1,1,1,1,41.34
1,1,1,1,1,975.56
1,1,1,1,1,115.65
1,1,1,1,1,257.15
1,1,1,1,1,58.95
1,1,1,1,1,385.8
1,1,1,1,1,592.01
1,1,1,1,1,566.96
1,1,1,1,1,137.71
1,1,1,1,1,149.22
1,1,1,1,1,187.88
1,1,1,1,1,473.37
2,1,2,2,1,135.87
1,1,1,1,1,15.42
1,1,1,1,1,174.99
1,1,1,1,1,54.06
1,1,1,1,1,48.65
2,1,1,2,2,121.58
1,1,1,1,1,342.09
1,1,1,1,1,55.32
1,1,1,1,1,30.09
1,1,1,1,1,230.85
1,1,1,1,1,397.93
1,1,1,1,1,342.09
1,1,1,1,1,727.32
1,1,1,1,1,159.77
1,1,1,1,1,321.5
1,1,1,1,1,189.84
1,1,1,1,1,133.59
1,1,1,1,1,257.12
1,1,1,1,1,32.9
1,1,1,1,1,801.96
1,1,1,1,1,277.72
1,1,1,1,1,22.99
1,1,1,1,1,799.52
1,1,1,1,1,730.71
1,1,1,1,1,51.22
1,1,1,1,1,370.2
2,1,1,2,2,689.6949999999999
1,1,1,1,1,141.55
1,1,1,1,1,231.64
1,1,1,1,1,321.73
1,1,1,1,1,380.94
1,1,1,1,1,565.75
1,1,1,1,1,21.53
1,1,1,1,1,37.03
1,1,1,1,1,160.24
1,1,1,1,1,195.64
1,1,1,1,1,450.05
1,1,1,1,1,33.21
1,1,1,1,1,746.48
1,1,1,1,1,831.42
1,1,1,1,1,380.7
1,1,1,1,1,465.72
1,1,1,1,1,309.3
1,1,1,1,1,22.02
1,1,1,1,1,156.76
1,1,1,1,1,89.84
1,1,1,1,1,37.07
1,1,1,1,1,20.34
1,1,1,1,1,802.33
1,1,1,1,1,257.15
1,1,1,1,1,592.01
1,1,1,1,1,54.57
1,1,1,1,1,130.48
1,1,1,1,1,51.84
1,1,1,1,1,431.93
1,1,1,1,1,252.23
1,1,1,1,1,696.03
1,1,1,1,1,272.28
1,1,1,1,1,130.51
1,1,1,1,1,102.94
1,1,1,1,1,385.83
1,1,1,1,1,23.02
1,1,1,1,1,57.14
1,1,1,1,1,83.63
1,1,1,1,1,615.18
1,1,1,1,1,109.11
2,2,1,2,2,365.36
1,1,1,1,1,316.24
1,1,1,1,1,160.15
1,1,1,1,1,172.03
1,1,1,1,1,406.19
1,1,1,1,1,157.76
1,1,1,1,1,195.63
1,1,1,1,1,35.01
1,1,1,1,1,154.06
1,1,1,1,1,28.29
1,1,1,1,1,766.76
1,1,1,1,1,222.13
1,1,1,1,1,462.05
1,1,1,1,1,254.83
1,1,1,1,1,197.66
1,1,1,1,1,321.52
1,1,1,1,1,141.57
1,1,1,1,1,874.93
1,1,1,1,1,272.08
1,1,1,1,1,552.96
1,1,1,1,1,587.85
1,1,1,1,1,143.94
1,1,1,1,1,45.12
1,1,1,1,1,975.56
1,1,1,1,1,87.0
1,1,1,1,1,190.97
1,1,1,1,1,25.48
1,1,1,1,1,167.29
1,1,1,1,1,256.94
1,1,1,1,1,584.29
1,1,1,1,1,694.71
1,1,1,1,1,66.9
1,1,1,1,1,54.8
1,1,1,1,1,229.31
1,1,1,1,1,107.85
1,1,1,1,1,46.18
1,1,1,1,1,59.92
1,1,1,1,1,250.38
1,1,1,1,1,964.15
1,1,1,1,1,128.45
3,2,1,3,3,48.63666666666666
1,1,1,1,1,17.21
2,2,1,2,2,56.125
1,1,1,1,1,86.23
1,1,1,1,1,115.32
1,1,1,1,1,79.77
1,1,1,1,1,138.74
1,1,1,1,1,10.27
1,1,1,1,1,450.44
1,1,1,1,1,694.97
1,1,1,1,1,13.62
1,1,1,1,1,771.94
1,1,1,1,1,61.75
1,1,1,1,1,808.23
1,1,1,1,1,110.68
1,1,1,1,1,386.08
1,1,1,1,1,539.5
1,1,1,1,1,346.7
1,1,1,1,1,615.2
1,1,1,1,1,7.7
1,1,1,1,1,118.15
1,1,1,1,1,146.95
1,1,1,1,1,187.62
1,1,1,1,1,288.04
1,1,1,1,1,370.41
1,1,1,1,1,131.02
1,1,1,1,1,64.61
1,1,1,1,1,257.38
1,1,1,1,1,321.73
1,1,1,1,1,22.82
1,1,1,1,1,38.35
1,1,1,1,1,11.56
1,1,1,1,1,223.92
1,1,1,1,1,187.83
1,1,1,1,1,396.15
1,1,1,1,1,110.48
1,1,1,1,1,41.74
1,1,1,1,1,772.19
1,1,1,1,1,437.33
1,1,1,1,1,177.43
1,1,1,1,1,26.51
1,1,1,1,1,9.52
1,1,1,1,1,121.24
1,1,1,1,1,485.54
1,1,1,1,1,108.09
1,1,1,1,1,391.0
1,1,1,1,1,433.67
1,1,1,1,1,22.95
1,1,1,1,1,133.81
1,1,1,1,1,114.8
1,1,1,1,1,373.21
1,1,1,1,1,54.06
1,1,1,1,1,583.63
1,1,1,1,1,160.62
1,1,1,1,1,40.85
1,1,1,1,1,241.71
1,1,1,1,1,427.3
1,1,1,1,1,126.28
1,1,1,1,1,202.32
1,1,1,1,1,122.02
1,1,1,1,1,231.41
1,1,1,1,1,490.36
1,1,1,1,1,56.6
1,1,1,1,1,180.91
1,1,1,1,1,197.62
1,1,1,1,1,33.21
1,1,1,1,1,759.32
1,1,1,1,1,25.48
1,1,1,1,1,126.1
1,1,1,1,1,160.57
1,1,1,1,1,185.08
1,1,1,1,1,378.98
1,1,1,1,1,424.21
1,1,1,1,1,179.6
1,1,1,1,1,108.62
1,1,1,1,1,343.8
1,1,1,1,1,283.15
1,1,1,1,1,126.13
1,1,1,1,1,112.69
1,1,1,1,1,23.4
1,1,1,1,1,463.31
1,1,1,1,1,308.61
1,1,1,1,1,51.2
1,1,1,1,1,406.32
1,1,1,1,1,432.42
1,1,1,1,1,280.57
1,1,1,1,1,720.46
1,1,1,1,1,460.05
1,1,1,1,1,256.93
1,1,1,1,1,694.74
1,1,1,1,1,228.73
1,1,1,1,1,196.89
1,1,1,1,1,154.19
1,1,1,1,1,269.93
1,1,1,1,1,459.59
1,1,1,1,1,169.85
1,1,1,1,1,965.02
1,1,1,1,1,62.81
1,1,1,1,1,350.68
1,1,1,1,1,30.86
1,1,1,1,1,8.75
1,1,1,1,1,62.24
1,1,1,1,1,975.57
1,1,1,1,1,980.46
1,1,1,1,1,513.53
1,1,1,1,1,76.75
1,1,1,1,1,179.84
1,1,1,1,1,720.48
2,1,1,2,1,246.93
1,1,1,1,1,100.39
1,1,1,1,1,560.86
1,1,1,1,1,709.9
1,1,1,1,1,28.31
1,1,1,1,1,66.41
1,1,1,1,1,951.82
1,1,1,1,1,203.35
1,1,1,1,1,291.08
1,1,1,1,1,152.89
1,1,1,1,1,503.75
1,1,1,1,1,187.8
1,1,1,1,1,482.09
1,1,1,1,1,463.33
1,1,1,1,1,172.22
1,1,1,1,1,229.04
1,1,1,1,1,424.7
1,1,1,1,1,71.2
1,1,1,1,1,303.48
1,1,1,1,1,97.81
1,1,1,1,1,193.03
1,1,1,1,1,978.11
1,1,1,1,1,749.17
1,1,1,1,1,28.03
2,1,1,2,1,461.91499999999996
1,1,1,1,1,230.83
1,1,1,1,1,16.47
1,1,1,1,1,244.51
1,1,1,1,1,190.45
1,1,1,1,1,349.73
1,1,1,1,1,21.86
1,1,1,1,1,53.8
1,1,1,1,1,173.3
1,1,1,1,1,814.64
1,1,1,1,1,617.75
1,1,1,1,1,174.05
1,1,1,1,1,64.25
1,1,1,1,1,257.15
1,1,1,1,1,256.71
1,1,1,1,1,147.97
1,1,1,1,1,180.16
1,1,1,1,1,283.23
1,1,1,1,1,8.71
1,1,1,1,1,61.52
1,1,1,1,1,303.7
1,1,1,1,1,462.4
1,1,1,1,1,94.67
1,1,1,1,1,553.42
1,1,1,1,1,178.64
1,1,1,1,1,131.66
1,1,1,1,1,105.32
1,1,1,1,1,160.18
1,1,1,1,1,44.76
1,1,1,1,1,73.42
1,1,1,1,1,535.63
1,1,1,1,1,411.83
1,1,1,1,1,179.93
1,1,1,1,1,86.35
1,1,1,1,1,130.48
1,1,1,1,1,797.7
1,1,1,1,1,463.07
1,1,1,1,1,94.47
1,1,1,1,1,928.47
1,1,1,1,1,33.72
1,1,1,1,1,187.69
1,1,1,1,1,380.94
1,1,1,1,1,643.26
1,1,1,1,1,817.04
1,1,1,1,1,24.32
1,1,1,1,1,49.42
1,1,1,1,1,949.78
1,1,1,1,1,720.67
1,1,1,1,1,342.09
1,1,1,1,1,514.76
1,1,1,1,1,154.33
1,1,1,1,1,102.94
1,1,1,1,1,66.41
1,1,1,1,1,51.97
1,1,1,1,1,54.03
2,2,1,2,2,47.99
1,1,1,1,1,250.21
1,1,1,1,1,121.24
1,1,1,1,1,95.21
1,1,1,1,1,145.12
1,1,1,1,1,256.74
1,1,1,1,1,140.66
1,1,1,1,1,411.57
2,1,2,2,2,211.15499999999997
1,1,1,1,1,68.21
1,1,1,1,1,33.44
1,1,1,1,1,300.81
1,1,1,1,1,295.22
1,1,1,1,1,33.44
1,1,1,1,1,462.39
1,1,1,1,1,15.39
1,1,1,1,1,389.92
1,1,1,1,1,82.63
1,1,1,1,1,38.05
1,1,1,1,1,31.15
1,1,1,1,1,25.71
1,1,1,1,1,64.05
1,1,1,1,1,145.41
1,1,1,1,1,174.38
1,1,1,1,1,198.18
1,1,1,1,1,643.23
2,2,1,2,2,255.15
1,1,1,1,1,131.51
1,1,1,1,1,67.7
1,1,1,1,1,89.84
1,1,1,1,1,874.93
1,1,1,1,1,52.23
1,1,1,1,1,120.98
1,1,1,1,1,110.43
1,1,1,1,1,952.15
1,1,1,1,1,130.99
1,1,1,1,1,501.91
2,2,1,2,2,247.10000000000002
1,1,1,1,1,231.35
1,1,1,1,1,230.79
1,1,1,1,1,344.9
1,1,1,1,1,152.9
1,1,1,1,1,460.63
1,1,1,1,1,131.36
1,1,1,1,1,802.07
1,1,1,1,1,141.28
1,1,1,1,1,31.92
1,1,1,1,1,334.45
1,1,1,1,1,76.84
1,1,1,1,1,58.52
1,1,1,1,1,32.18
1,1,1,1,1,370.64
1,1,1,1,1,800.92
1,1,1,1,1,244.28
2,1,1,2,2,205.41000000000003
1,1,1,1,1,131.61
1,1,1,1,1,64.87
1,1,1,1,1,535.15
1,1,1,1,1,59.2
1,1,1,1,1,144.12
1,1,1,1,1,215.96
1,1,1,1,1,120.96
1,1,1,1,1,432.42
1,1,1,1,1,975.56
1,1,1,1,1,849.19
1,1,1,1,1,159.8
1,1,1,1,1,31.3
1,1,1,1,1,160.36
1,1,1,1,1,32.43
1,1,1,1,1,146.01
1,1,1,1,1,238.59
1,1,1,1,1,224.47
1,1,1,1,1,136.17
1,1,1,1,1,368.86
1,1,1,1,1,48.14
1,1,1,1,1,275.08
1,1,1,1,1,89.84
1,1,1,1,1,70.53
1,1,1,1,1,250.12
1,1,1,1,1,729.5
1,1,1,1,1,127.42
1,1,1,1,1,6.41
1,1,1,1,1,473.27
1,1,1,1,1,166.83
1,1,1,1,1,102.68
1,1,1,1,1,419.18
1,1,1,1,1,102.96
1,1,1,1,1,257.38
1,1,1,1,1,433.73
1,1,1,1,1,28.29
1,1,1,1,1,231.64
1,1,1,1,1,169.3
1,1,1,1,1,373.21
1,1,1,1,1,411.82
1,1,1,1,1,365.26
1,1,1,1,1,96.3
1,1,1,1,1,25.71
1,1,1,1,1,249.43
1,1,1,1,1,369.33
1,1,1,1,1,947.26
1,1,1,1,1,22.39
1,1,1,1,1,149.53
1,1,1,1,1,424.21
1,1,1,1,1,210.26
1,1,1,1,1,450.46
1,1,1,1,1,972.74
1,1,1,1,1,62.81
1,1,1,1,1,359.06
1,1,1,1,1,149.3
1,1,1,1,1,167.28
1,1,1,1,1,73.72
1,1,1,1,1,92.13
1,1,1,1,1,344.9
1,1,1,1,1,215.57
1,1,1,1,1,277.42
1,1,1,1,1,344.93
1,1,1,1,1,463.3
1,1,1,1,1,126.1
1,1,1,1,1,54.06
1,1,1,1,1,15.42
1,1,1,1,1,231.35
1,1,1,1,1,244.99
3,2,1,3,3,561.0533333333333
1,1,1,1,1,576.59
1,1,1,1,1,230.59
1,1,1,1,1,13.64
